Universitas,Prodi,Rank
politeknik angkatan laut,farmasi,999.0
sekolah tinggi agama kristen protestan negeri sentani,pendidikan agama kristen,999.0
sekolah tinggi ilmu ekonomi tri dharma widya,akuntansi,999.0
universitas pasifik morotai,akuntansi,999.0
sekolah tinggi ilmu ekonomi ekadharma indonesia,akuntansi,999.0
stmik rosma,komputerisasi akuntansi,999.0
universitas pancasakti,farmasi,999.0
akademi kebidanan farmako husada almuctari bogor,kebidanan,999.0
universitas muhammadiyah gorontalo,akuakultur,999.0
institut maritim prasetiya mandiri,budidaya perairan,999.0
institut al fithrah surabaya,ilmu tasawuf,999.0
politeknik unggulan cipta mandiri,perhotelan,999.0
universitas muhammadiyah bima,ilmu hukum,999.0
sekolah tinggi arsitektur ykpn yogyakarta,gambar arsitektur,999.0
universitas tribhuwana tungga dewi,agribisnis,999.0
universitas sam ratulangi,sastra jerman,999.0
universitas muhammadiyah aceh,arsitektur,999.0
universitas negeri semarang,statistika dan sains data,999.0
politeknik pariwisata nhi bandung,pengelolaan usaha rekreasi,999.0
politeknik pariwisata nhi bandung,usaha perjalanan wisata,999.0
politeknik perikanan negeri tual,teknologi hasil perikanan,999.0
politeknik kelautan dan perikanan bitung,teknik penangkapan ikan,999.0
universitas abdurrab,ilmu pemerintahan,999.0
politeknik maritim eka utama subang,manajemen pelabuhan,999.0
universitas satu nusa lampung,perhotelan,999.0
institut sayyid muhammad alawi al maliki,hukum ekonomi syariah,999.0
institut sayyid muhammad alawi al maliki,hukum keluarga islam,999.0
universitas abdurrab,psikologi,999.0
universitas islam alaziziyah indonesia,ekonomi syariah,999.0
politeknik negeri banyuwangi,destinasi pariwisata,999.0
universitas hkbp nommensen,teknologi hasil pertanian,999.0
sekolah tinggi agama islam pelita nusa bandung barat,perbankan syariah,999.0
sekolah tinggi agama islam pelita nusa bandung barat,ekonomi syariah,999.0
universitas islam syekhyusuf,administrasi publik,999.0
sekolah tinggi agama islam dirosat islamiyah alhikmah jakarta,ilmu alquran dan tafsir,999.0
sekolah tinggi agama islam dirosat islamiyah alhikmah jakarta,komunikasi dan penyiaran islam,999.0
institut al fithrah surabaya,komunikasi dan penyiaran islam,999.0
universitas diponegoro,ilmu perpustakaan dan informasi,8.0
politeknik statistika stis,komputasi statistik,999.0
politeknik sandi karsa,teknologi radiologi pencitraan,999.0
politeknik kesehatan kementerian kesehatan medan,kebidanan,999.0
politeknik kesehatan kementerian kesehatan kendari,gizi dan dietetika,999.0
politeknik kesehatan kementerian kesehatan kalimantan timur,kebidanan,999.0
institut kesehatan dan teknologi pondok karya pembangunan,keselamatan dan kesehatan kerja,999.0
universitas kristen indonesia paulus,sistem informasi,999.0
universitas safin pati,sistem informasi,999.0
sekolah tinggi teknologi bontang,sistem informasi,999.0
universitas sipatokkong mambo,ilmu keperawatan,999.0
universitas sebelas maret,keperawatan anestesiologi,13.0
universitas sebelas maret,kedokteran,13.0
universitas pembangunan nasional veteran jawa timur,kedokteran,999.0
universitas muhammadiyah gombong,kebidanan,999.0
universitas muhammadiyah banjarmasin,keperawatan,999.0
universitas muhammadiyah banjarmasin,keperawatan,999.0
universitas muhammadiyah banjarmasin,kebidanan,999.0
universitas diponegoro,gizi,8.0
sekolah tinggi ilmu kesehatan pembina palembang,kesehatan masyarakat,999.0
sekolah tinggi ilmu kesehatan panti waluya malang,manajemen informasi kesehatan,999.0
sekolah tinggi ilmu kesehatan nasional,fisioterapi,999.0
sekolah tinggi ilmu kesehatan bhakti husada mulia madiun,farmasi,999.0
sekolah tinggi ilmu kesehatan bhakti husada mulia madiun,farmasi,999.0
sekolah tinggi ilmu kesehatan baramuli,keperawatan,999.0
politeknik kesehatan kementerian kesehatan pontianak,teknologi laboratorium medis,999.0
politeknik kesehatan kementerian kesehatan jayapura,gizi,999.0
politeknik cendrawasih palu,manajemen informasi kesehatan,999.0
politeknik aisyiyah pontianak,teknologi laboratorium medis,999.0
institut teknologi kesehatan cendekia utama kudus,keperawatan,999.0
akademi analis kesehatan malang,teknologi laboratorium medis,999.0
universitas sebelas maret,pendidikan bahasa dan sastra indonesia,13.0
universitas islam negeri datokarama palu,manajemen pendidikan islam,999.0
universitas islam negeri fatmawati sukarno bengkulu,pendidikan agama islam,999.0
sekolah tinggi ilmu tarbiyah al wasi kaur,pendidikan agama islam,999.0
universitas islam an nur lampung,tadris bahasa inggris,999.0
universitas respati indonesia,kebidanan,999.0
universitas ngudi waluyo,keperawatan,999.0
universitas mandala waluya,teknologi laboratorium medis,999.0
universitas islam mulia yogyakarta,kebidanan,999.0
universitas hang tuah pekanbaru,rekam medik dan informasi kesehatan,999.0
sekolah tinggi ilmu kesehatan sumber waras,administrasi kesehatan,999.0
sekolah tinggi ilmu kesehatan sumber waras,keperawatan,999.0
sekolah tinggi ilmu kesehatan akbidyo,kebidanan,999.0
politeknik kesehatan kementerian kesehatan pontianak,gizi,999.0
politeknik kesehatan kementerian kesehatan palangkaraya,keperawatan,999.0
politeknik kesehatan kementerian kesehatan aceh,teknologi laboratorium medis,999.0
politeknik kesehatan bhakti mulia,rekam medik dan informasi kesehatan,999.0
universitas kristen wira wacana sumba,ekonomi pembangunan,999.0
politeknik ykpn,akuntansi,999.0
akademi akuntansi indonesia padang,akuntansi,999.0
universitas syiah kuala,ilmu keperawatan,23.0
universitas muhammadiyah ponorogo,kebidanan,999.0
universitas muhammadiyah pekajangan pekalongan,keperawatan,999.0
universitas lambung mangkurat,keperawatan,999.0
universitas islam negeri maulana malik ibrahim malang,pendidikan dokter,999.0
universitas galuh,keperawatan,999.0
universitas dr soebandi,kebidanan,999.0
universitas cokroaminoto makassar,kebidanan,999.0
universitas cenderawasih,ilmu keperawatan,999.0
universitas abulyatama,kebidanan,999.0
universitas aisyiyah bandung,ilmu keperawatan,999.0
sekolah tinggi ilmu kesehatan yapika makassar,ilmu keperawatan,999.0
sekolah tinggi ilmu kesehatan patriot bangsa lampung,administrasi kesehatan,999.0
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0
politeknik kesehatan kementerian kesehatan tasikmalaya,keperawatan,999.0
politeknik kesehatan kementerian kesehatan tasikmalaya,kebidanan,999.0
politeknik kesehatan kementerian kesehatan tasikmalaya,keperawatan,999.0
politeknik kesehatan kementerian kesehatan sorong,kebidanan,999.0
politeknik kesehatan kementerian kesehatan pontianak,keperawatan,999.0
akademi kebidanan bakti indonesia bogor,kebidanan,999.0
universitas islam syarifuddin lumajang,pendidikan agama islam,999.0
universitas islam syarifuddin lumajang,pendidikan guru madrasah ibtidaiyah,999.0
sekolah tinggi agama islam darud dakwah wal irsyad maros,pendidikan agama islam,999.0
sekolah tinggi ilmu tarbiyah nur ahadiyah,pendidikan agama islam,999.0
sekolah tinggi agama islam sayid sabiq indramayu,pendidikan agama islam,999.0
universitas negeri yogyakarta,pendidikan pancasila dan kewarganegaraan,19.0
universitas muhammadiyah sidenreng rappang,pendidikan vokasional seni kuliner,999.0
sekolah tinggi agama islam riyadhul jannah subang,pendidikan islam anak usia dini,999.0
sekolah tinggi ilmu tarbiyah muhammadiyah bangil,pendidikan agama islam,999.0
sekolah tinggi agama islam morowali,pendidikan agama islam,999.0
sekolah tinggi teologi siloam medan,pendidikan agama kristen,999.0
universitas iskandar muda,pendidikan bahasa inggris,999.0
universitas hasyim asyari tebuireng jombang,pendidikan bahasa dan sastra indonesia,999.0
universitas tribuana kalabahi,pendidikan teologi,999.0
universitas pgri palembang,pendidikan matematika,999.0
institut agama islam arrisalah inhil riau,pendidikan islam anak usia dini,999.0
universitas trunojoyo,pendidikan ilmu pengetahuan alam,999.0
universitas islam negeri sunan gunung djati,pendidikan kimia,999.0
universitas pelita harapan,pendidikan bahasa inggris,999.0
universitas nahdlatul ulama cirebon,pendidikan guru sekolah dasar,999.0
sekolah tinggi agama islam raudhatul akmal,pendidikan islam anak usia dini,999.0
institut agama hindu negeri tampung penyang palangka raya,pendidikan seni dan keagamaan,999.0
universitas pamulang,pendidikan ekonomi,999.0
universitas negeri medan,pendidikan tata boga,999.0
universitas pgri madiun,pendidikan matematika,999.0
universitas negeri malang,pendidikan seni rupa,22.0
sekolah tinggi ilmu tarbiyah darul ishlah,manajemen pendidikan islam,999.0
sekolah tinggi agama islam paduka anambas,pendidikan agama islam,999.0
universitas khairun,pendidikan kimia,999.0
universitas islam negeri alauddin makassar,pendidikan guru madrasah ibtidaiyah,999.0
universitas islam indonesia,pendidikan agama islam,25.0
sekolah tinggi agama islam morowali,pendidikan guru madrasah ibtidaiyah,999.0
universitas muhammadiyah bima,pendidikan islam anak usia dini,999.0
sekolah tinggi ilmu tarbiyah ispini,pendidikan guru madrasah ibtidaiyah,999.0
universitas pendidikan ganesha,pendidikan teknik mesin,999.0
universitas cenderawasih,pendidikan guru pendidikan anak usia dini,999.0
universitas riau,pendidikan guru sekolah dasar,999.0
universitas dwijendra,pendidikan bahasa indonesia,999.0
sekolah tinggi agama islam babunnajah pandeglang,pendidikan agama islam,999.0
universitas muhammadiyah makassar,pendidikan bahasa arab,999.0
universitas hkbp nommensen,pendidikan ekonomi,999.0
universitas negeri jakarta,pendidikan ekonomi,999.0
universitas jambi,pendidikan guru pendidikan anak usia dini,999.0
universitas islam negeri salatiga,tadris bahasa inggris,999.0
institut agama islam latifah mubarokiyah suryalaya tasikmalaya,pendidikan islam anak usia dini,999.0
universitas islam negeri syekh ali hasan ahmad addary padangsidimpuan,pendidikan guru madrasah ibtidaiyah,999.0
universitas pgri madiun,pendidikan guru sekolah dasar,999.0
institut agama islam negeri ponorogo,tadris matematika,999.0
universitas islam negeri sultan maulana hasanuddin banten,bimbingan dan konseling pendidikan islam,999.0
sekolah tinggi keguruan dan ilmu pendidikan pgri sumenep,pendidikan bahasa dan sastra indonesia,999.0
universitas kristen satya wacana,pendidikan sejarah,999.0
universitas muhammadiyah sumatera utara,pendidikan bahasa inggris,999.0
universitas pancasakti tegal,pendidikan pancasila dan kewarganegaraan,999.0
institut agama islam almuslim aceh,pendidikan agama islam,999.0
universitas yudharta pasuruan,pendidikan agama islam,999.0
institut agama islam negeri langsa,pendidikan guru madrasah ibtidaiyah,999.0
universitas muhammadiyah pringsewu lampung,pendidikan matematika,999.0
sekolah tinggi agama islam ypiq baubau,pendidikan agama islam,999.0
sekolah tinggi agama islam imam bukhori bulukumba,pendidikan agama islam,999.0
